,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.7%,84.9%,4.4%,133.2
1,Vandal,0.8,30.0%,65.3%,4.7%,126.3
2,Outlaw,0.7,13.0%,83.4%,3.6%,121.9
3,Phantom,0.8,25.5%,68.8%,5.7%,116.6
4,Guardian,0.7,34.3%,62.2%,3.5%,116.2
5,Sheriff,0.5,34.5%,62.6%,2.9%,100.4
6,Odin,0.8,12.3%,72.3%,15.4%,96.5
7,Marshal,0.5,28.4%,68.2%,3.5%,95.2
8,Bulldog,0.7,27.1%,67.7%,5.2%,91.1
9,Judge,0.7,11.9%,75.0%,13.0%,84.9
10,Stinger,0.5,18.8%,74.4%,6.8%,80.2
11,Spectre,0.7,19.5%,73.3%,7.1%,78.7
12,Ares,0.6,15.3%,73.0%,11.7%,78.6
13,Shorty,0.7,15.3%,75.3%,9.5%,78.2
14,Ghost,0.8,32.9%,63.7%,3.4%,77.7
15,Bucky,0.5,14.1%,77.4%,8.5%,77.4
16,Classic,0.4,27.2%,68.4%,4.3%,68.5
17,Frenzy,0.6,21.7%,72.1%,6.3%,63.5
