,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Deadlock,1.08,16.1,14.9,4.4,56.0%,1.2%,211,"1,142"
1,Gekko,0.97,14.3,14.8,5.1,53.7%,1.9%,194,"1,724"
2,Sage,1.02,15.4,15.1,7.1,53.4%,5.4%,209,"4,961"
3,Phoenix,1.12,17.4,15.5,4.6,53.2%,0.8%,240,737
4,Brimstone,0.99,14.7,14.8,10.8,52.5%,0.7%,211,663
5,Sova,1.03,15.2,14.7,5.7,52.0%,0.3%,214,294
6,Jett,1.1,17.8,16.2,3.2,51.4%,14.2%,241,"13,155"
7,Reyna,1.14,17.9,15.7,4.1,51.1%,9.3%,242,"8,603"
8,Raze,1.04,17,16.4,4.3,50.1%,14.1%,241,"13,062"
9,Cypher,1.05,15.3,14.6,4.3,50.0%,14.2%,202,"13,100"
10,Omen,1,14.9,14.9,8.2,49.4%,13.9%,200,"12,877"
11,Skye,0.97,14.7,15.1,7.7,49.2%,10.7%,199,"9,928"
12,Fade,1,15,15,6.4,49.2%,0.9%,203,813
13,Astra,1.05,15.5,14.7,7.7,49.1%,3.6%,208,"3,358"
14,Neon,1.02,17.1,16.7,4.6,49.1%,0.3%,233,279
15,Viper,1.07,16.3,15.3,5.5,48.7%,1.2%,222,"1,124"
16,Breach,0.97,14.7,15.1,8.2,48.1%,2.3%,198,"2,110"
17,Iso,1.07,17.1,16.1,4.4,48.0%,0.5%,238,481
18,Killjoy,1.07,15.5,14.5,3.1,47.5%,1.7%,211,"1,573"
19,Chamber,1.12,16.9,15.2,2.6,47.3%,1.4%,224,"1,293"
20,KAY/O,0.99,15.5,15.6,9.9,45.7%,0.5%,215,453
21,Yoru,1.02,16.3,16.1,4.4,44.9%,0.9%,222,799
