,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,0.92,13.5,14.8,7.3,50.7%,10.0%,191,"354,685"
1,Brimstone,0.95,14.3,14.9,8.4,50.2%,3.9%,206,"138,090"
2,Reyna,1.14,17.6,15.5,4.4,49.8%,11.6%,247,"410,723"
3,Phoenix,1.09,16.8,15.4,4.6,49.7%,3.0%,237,"105,064"
4,Raze,1.04,16.4,15.8,4.6,49.6%,7.8%,237,"277,408"
5,Deadlock,1.01,14.9,14.8,4.3,49.5%,1.4%,205,"49,232"
6,Astra,1.04,15.2,14.6,6.1,49.5%,1.8%,210,"64,982"
7,Gekko,0.92,13.8,15,4.9,49.5%,2.9%,192,"102,596"
8,Skye,0.94,14,14.9,7.4,49.4%,6.1%,196,"216,642"
9,Cypher,1.01,14.5,14.4,4.9,49.4%,8.9%,200,"316,560"
10,Jett,1.08,17,15.8,3.7,49.1%,8.8%,239,"310,211"
11,Killjoy,0.98,14.2,14.4,3.7,49.0%,3.4%,199,"120,272"
12,Omen,0.99,14.9,15.1,6.2,48.9%,11.6%,206,"412,386"
13,Fade,0.93,14,15,6,48.9%,1.9%,196,"65,640"
14,Breach,0.94,14.4,15.3,6.3,48.8%,2.7%,201,"95,271"
15,Sova,0.97,14.3,14.8,5.2,48.4%,2.4%,204,"85,211"
16,Viper,0.98,14.4,14.7,5.3,48.0%,1.7%,203,"60,921"
17,Chamber,1.07,15.9,14.9,3.3,47.7%,2.8%,219,"99,174"
18,Neon,0.97,15.7,16.2,4.3,47.1%,1.4%,223,"50,805"
19,Yoru,1.01,15.7,15.5,4.3,47.1%,1.6%,219,"55,692"
20,Iso,1,16,16,4.2,45.5%,1.7%,227,"59,289"
21,KAY/O,0.9,13.8,15.5,8.5,45.4%,2.2%,199,"78,139"
22,Harbor,0.9,13.7,15.2,5.6,44.2%,0.3%,192,"11,353"
