,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,0.75,10.8,14.3,6.3,50.3%,12.6%,159,"90,474"
1,Raze,0.89,13.4,15,4.7,50.1%,6.2%,203,"44,660"
2,Cypher,0.87,12.2,14,5,50.1%,6.0%,176,"42,801"
3,Killjoy,0.84,11.7,14,4,50.1%,3.4%,174,"24,729"
4,Deadlock,0.83,12,14.5,4.2,49.9%,2.0%,173,"14,572"
5,Astra,0.89,12.5,14,4.8,49.9%,0.5%,182,"3,917"
6,Brimstone,0.83,12.1,14.5,6.3,49.7%,3.5%,182,"25,466"
7,Reyna,0.97,14.5,14.9,4.4,49.2%,10.6%,211,"76,332"
8,Omen,0.85,12.6,14.8,4.7,49.2%,8.2%,182,"59,258"
9,Breach,0.84,12.4,14.8,5.2,49.1%,1.4%,183,"10,346"
10,Skye,0.77,11.3,14.6,6.9,49.1%,5.0%,167,"35,658"
11,Viper,0.81,11.7,14.4,4.7,48.9%,2.9%,173,"20,686"
12,Fade,0.76,11.2,14.7,5.8,48.6%,3.2%,166,"23,017"
13,Jett,0.9,13.6,15,3.7,48.6%,5.1%,199,"36,737"
14,Gekko,0.76,11.2,14.8,4.6,48.6%,5.5%,164,"39,430"
15,Phoenix,0.9,13.2,14.7,4.3,48.5%,4.3%,196,"31,097"
16,Chamber,0.87,12.7,14.5,3.6,48.3%,2.0%,183,"14,672"
17,Sova,0.79,11.6,14.6,4.8,48.2%,3.7%,172,"26,261"
18,KAY/O,0.75,11.2,15,7.4,47.7%,2.4%,169,"16,901"
19,Neon,0.82,12.7,15.4,4,47.5%,3.8%,187,"27,009"
20,Harbor,0.75,11.2,14.9,4.9,47.2%,0.9%,165,"6,127"
21,Yoru,0.84,12.6,15,4.1,47.0%,4.5%,184,"31,995"
22,Iso,0.83,12.9,15.4,4.2,46.8%,2.3%,191,"16,671"
