,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,0.95,14.3,15,7.3,51.0%,9.3%,198,"164,373"
1,Brimstone,0.97,14.7,15.1,9.5,51.0%,2.9%,209,"50,961"
2,Deadlock,1.04,15.5,14.9,4.4,50.9%,1.1%,209,"20,154"
3,Fade,0.97,14.6,15,6.1,50.1%,1.4%,200,"25,360"
4,Phoenix,1.09,17,15.6,4.6,49.6%,2.1%,237,"36,940"
5,Reyna,1.12,17.6,15.7,4.3,49.6%,10.1%,243,"179,415"
6,Raze,1.03,16.7,16.2,4.5,49.5%,9.7%,238,"172,389"
7,Gekko,0.94,14.2,15.1,5,49.5%,2.1%,193,"37,002"
8,Skye,0.96,14.4,15.1,7.5,49.3%,7.8%,199,"138,712"
9,Astra,1.04,15.5,14.8,6.8,49.2%,2.7%,210,"47,861"
10,Cypher,1.02,14.8,14.6,4.7,49.2%,10.1%,200,"178,936"
11,Jett,1.07,17.3,16.1,3.5,49.0%,11.3%,238,"200,952"
12,Omen,1,15,15.1,7.1,48.9%,13.2%,206,"234,434"
13,Killjoy,1,14.6,14.6,3.6,48.5%,2.7%,202,"47,271"
14,Breach,0.95,14.5,15.3,7.2,48.0%,3.1%,199,"54,385"
15,Viper,1.02,15.2,14.9,5.5,48.0%,0.9%,212,"16,265"
16,Sova,0.98,14.6,14.9,5.3,47.7%,1.6%,205,"28,526"
17,Chamber,1.08,16.3,15.1,3.1,47.5%,2.7%,220,"48,246"
18,Yoru,1.02,16.1,15.7,4.4,46.8%,1.1%,222,"20,217"
19,Neon,0.96,15.9,16.6,4.4,46.7%,0.7%,222,"12,409"
20,Iso,1.01,16.4,16.2,4.2,45.5%,1.1%,229,"19,366"
21,KAY/O,0.92,14.3,15.6,9.1,44.9%,2.0%,204,"34,964"
22,Harbor,0.92,14.1,15.3,5.9,44.5%,0.1%,195,"2,506"
