,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Deadlock,1.14,17,14.9,4.3,58.8%,1.9%,222,554
1,Fade,1.05,15.8,15.1,6.3,57.4%,1.2%,209,336
2,Gekko,1,15.4,15.3,5.1,54.8%,2.4%,203,683
3,Viper,1.1,16.5,15.1,5.2,52.0%,2.7%,226,787
4,Breach,0.98,14.6,15,8.4,51.9%,1.4%,201,395
5,Chamber,1.17,17.5,15,2.5,51.9%,1.8%,234,534
6,Sage,1.04,15.6,15,7.2,51.9%,3.3%,212,964
7,Omen,1.04,15.3,14.7,8.2,51.1%,11.5%,205,"3,324"
8,Yoru,1.08,17.6,16.3,4.8,51.1%,1.3%,235,380
9,Raze,1.06,17.6,16.6,4.3,51.0%,16.1%,246,"4,661"
10,Skye,1.02,15.4,15.2,8,50.6%,11.6%,206,"3,370"
11,Jett,1.12,18.1,16.2,3.2,50.6%,15.3%,244,"4,442"
12,Phoenix,1.08,17.6,16.4,4.8,50.4%,0.8%,237,224
13,Cypher,1.09,16,14.7,4.4,49.7%,12.1%,209,"3,520"
14,Reyna,1.17,18.3,15.7,4.2,49.6%,8.3%,248,"2,393"
15,Astra,1.11,16.1,14.4,7.5,49.5%,5.5%,213,"1,605"
16,Iso,1.02,16.3,16,4.7,48.8%,0.1%,232,41
17,Killjoy,1.09,15.9,14.6,2.9,46.5%,2.3%,216,665
18,Harbor,1.13,19.3,17,6.9,37.5%,0.0%,260,8
19,Sova,1.04,16.2,15.6,5.2,32.1%,0.2%,222,56
20,Brimstone,0.86,14.2,16.5,9.9,28.6%,0.0%,191,14
21,KAY/O,1.03,16.3,15.8,12.1,28.6%,0.1%,223,21
22,Neon,0.91,15.7,17.3,4.2,25.0%,0.0%,232,12
