,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,0.96,14.4,15,7.3,51.5%,8.9%,199,"139,864"
1,Brimstone,0.98,14.7,15,9.7,51.2%,2.6%,210,"40,712"
2,Deadlock,1.04,15.5,14.9,4.4,50.6%,1.1%,210,"17,413"
3,Phoenix,1.09,17.1,15.6,4.6,50.3%,1.9%,237,"29,496"
4,Reyna,1.13,17.7,15.7,4.3,50.1%,9.9%,243,"155,250"
5,Skye,0.96,14.5,15.1,7.5,49.7%,8.4%,199,"131,473"
6,Raze,1.04,16.8,16.2,4.5,49.5%,10.2%,239,"160,001"
7,Astra,1.05,15.5,14.8,7,49.5%,2.8%,210,"44,210"
8,Cypher,1.02,14.9,14.6,4.7,49.3%,10.4%,201,"163,972"
9,Gekko,0.94,14.2,15.1,5,49.2%,2.0%,193,"30,732"
10,Omen,1,15.1,15.1,7.3,49.1%,13.5%,206,"211,311"
11,Jett,1.07,17.3,16.2,3.5,49.0%,11.8%,238,"185,817"
12,Killjoy,1.01,14.8,14.6,3.5,48.8%,2.5%,203,"39,333"
13,Fade,0.96,14.5,15.1,6.2,48.4%,1.3%,199,"21,166"
14,Breach,0.94,14.4,15.3,7.3,48.3%,3.2%,199,"49,591"
15,Sova,0.99,14.8,15,5.3,48.1%,1.4%,206,"21,796"
16,Chamber,1.09,16.5,15.2,3.1,48.0%,2.6%,222,"41,223"
17,Viper,1.04,15.5,14.9,5.5,47.7%,0.8%,215,"12,818"
18,Yoru,1.02,16.2,15.8,4.4,47.0%,1.1%,223,"17,235"
19,Neon,0.97,16,16.5,4.3,46.8%,0.6%,223,"9,580"
20,KAY/O,0.92,14.4,15.6,9.2,45.7%,1.8%,204,"28,972"
21,Iso,1.02,16.6,16.2,4.2,45.5%,1.0%,230,"15,363"
22,Harbor,0.93,14.3,15.5,6,44.3%,0.1%,199,"1,905"
