,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Reyna,1.14,17.3,15.2,4.5,50.8%,12.0%,247,"365,514"
1,Sage,0.9,13,14.5,7.1,50.7%,10.7%,187,"327,181"
2,Brimstone,0.95,14,14.8,7.7,50.3%,4.2%,205,"129,632"
3,Killjoy,0.98,13.9,14.2,4,50.2%,3.8%,200,"115,511"
4,Deadlock,0.98,14.3,14.7,4.4,50.2%,1.7%,203,"50,629"
5,Raze,1.02,15.8,15.5,4.7,50.1%,6.7%,232,"203,528"
6,Phoenix,1.07,16.1,15,4.6,50.0%,3.4%,232,"105,123"
7,Cypher,1,14.2,14.2,5.1,50.0%,8.3%,199,"253,924"
8,Gekko,0.9,13.4,14.9,4.9,49.7%,3.8%,190,"114,665"
9,Jett,1.06,16.5,15.5,3.9,49.6%,6.5%,235,"197,879"
10,Breach,0.94,14.2,15.2,5.9,49.5%,2.2%,203,"68,257"
11,Skye,0.91,13.5,14.8,7.4,49.3%,5.7%,193,"173,784"
12,Fade,0.91,13.5,14.9,6,49.2%,2.3%,192,"68,722"
13,Omen,0.98,14.6,14.9,5.6,49.2%,10.6%,206,"322,265"
14,Astra,1.02,14.7,14.5,5.6,49.1%,1.2%,206,"35,990"
15,Viper,0.96,14,14.6,5.2,48.9%,2.4%,201,"72,092"
16,Sova,0.94,13.8,14.7,5.1,48.4%,2.8%,200,"85,895"
17,Chamber,1.04,15.3,14.7,3.5,48.2%,2.5%,214,"76,679"
18,Neon,0.97,15.4,15.8,4.3,48.1%,2.3%,222,"70,662"
19,Yoru,0.99,15,15.2,4.3,47.3%,2.2%,214,"67,217"
20,Iso,0.99,15.5,15.8,4.3,46.7%,2.0%,225,"60,081"
21,KAY/O,0.88,13.3,15.2,8.2,46.3%,2.3%,196,"68,844"
22,Harbor,0.89,13.3,15,5.5,45.3%,0.6%,191,"17,622"
