,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.5%,85.3%,4.2%,133.9
1,Outlaw,0.7,14.0%,82.1%,3.9%,127.9
2,Vandal,0.8,26.4%,68.4%,5.2%,126
3,Phantom,0.8,22.6%,71.1%,6.4%,117
4,Guardian,0.7,30.6%,65.7%,3.8%,116.2
5,Odin,0.8,11.9%,72.1%,15.9%,101.3
6,Sheriff,0.5,31.4%,65.4%,3.2%,98.4
7,Marshal,0.5,26.8%,70.0%,3.2%,98.3
8,Bulldog,0.7,22.9%,71.1%,6.0%,92.1
9,Judge,0.6,12.4%,74.9%,12.7%,84.9
10,Spectre,0.7,17.7%,74.1%,8.2%,81.1
11,Stinger,0.5,18.0%,74.6%,7.5%,80
12,Ares,0.6,14.9%,71.9%,13.2%,79.8
13,Ghost,0.8,28.7%,67.4%,3.9%,77.8
14,Bucky,0.5,14.8%,76.9%,8.3%,75.1
15,Shorty,0.6,15.1%,75.5%,9.4%,73.4
16,Classic,0.4,24.7%,70.4%,4.9%,68.5
17,Frenzy,0.6,20.3%,72.5%,7.1%,63
