,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.4%,85.4%,4.2%,133.5
1,Outlaw,0.7,14.1%,81.9%,4.0%,128.1
2,Vandal,0.8,25.7%,69.0%,5.3%,125.7
3,Phantom,0.8,22.0%,71.5%,6.5%,116.9
4,Guardian,0.7,29.8%,66.4%,3.8%,115.8
5,Odin,0.8,11.7%,72.4%,16.0%,101.8
6,Marshal,0.5,26.5%,70.2%,3.3%,97.9
7,Sheriff,0.5,30.7%,65.9%,3.3%,97.6
8,Bulldog,0.7,22.1%,71.7%,6.2%,92.1
9,Judge,0.6,12.5%,74.8%,12.7%,84.8
10,Spectre,0.7,17.2%,74.4%,8.4%,81.5
11,Ares,0.6,14.6%,72.1%,13.3%,80.4
12,Stinger,0.5,17.8%,74.6%,7.6%,80
13,Ghost,0.8,28.0%,68.0%,4.0%,77.8
14,Bucky,0.5,14.9%,76.8%,8.4%,74.8
15,Shorty,0.6,15.1%,75.5%,9.5%,72
16,Classic,0.4,24.0%,70.9%,5.0%,68.2
17,Frenzy,0.5,20.0%,72.7%,7.3%,62.7
