,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.4%,85.6%,4.1%,132.7
1,Outlaw,0.7,14.3%,81.7%,4.0%,128.9
2,Vandal,0.8,24.3%,70.1%,5.5%,125.5
3,Phantom,0.8,20.8%,72.5%,6.7%,116.9
4,Guardian,0.7,28.2%,67.9%,3.9%,116.2
5,Odin,0.8,11.2%,72.7%,16.1%,103.4
6,Marshal,0.5,25.8%,70.8%,3.4%,98
7,Sheriff,0.5,29.5%,67.0%,3.5%,96.2
8,Bulldog,0.7,20.5%,72.9%,6.6%,92.7
9,Judge,0.6,12.6%,74.7%,12.7%,84.9
10,Spectre,0.7,16.3%,74.9%,8.8%,82.7
11,Ares,0.6,13.8%,72.4%,13.8%,81.7
12,Stinger,0.5,17.4%,74.8%,7.8%,80.6
13,Ghost,0.8,26.4%,69.3%,4.3%,78.1
14,Bucky,0.5,15.0%,76.6%,8.3%,74.8
15,Shorty,0.5,15.1%,75.3%,9.6%,70
16,Classic,0.4,22.7%,71.9%,5.4%,67.9
17,Frenzy,0.5,19.2%,73.1%,7.7%,62.9
