,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.4%,81.8%,5.8%,132.5
1,Operator,0.8,9.7%,85.4%,4.9%,123.9
2,Vandal,0.8,14.9%,75.0%,10.2%,119.1
3,Guardian,0.6,14.9%,76.6%,8.5%,116.3
4,Phantom,0.8,12.6%,75.1%,12.4%,111.3
5,Odin,0.9,7.9%,69.2%,23.0%,105.6
6,Marshal,0.4,20.7%,74.1%,5.2%,96.8
7,Bulldog,0.6,11.9%,76.4%,11.7%,94.8
8,Ares,0.6,9.5%,71.1%,19.3%,92.2
9,Sheriff,0.5,20.0%,73.5%,6.4%,87.7
10,Spectre,0.6,10.4%,75.5%,14.0%,86.6
11,Judge,0.6,11.1%,73.0%,15.9%,81.7
12,Ghost,0.7,15.6%,75.5%,8.9%,77.5
13,Stinger,0.5,14.1%,74.0%,12.0%,76.2
14,Bucky,0.5,13.0%,75.2%,11.8%,71.3
15,Frenzy,0.5,13.3%,74.4%,12.3%,62.3
16,Classic,0.4,13.4%,76.5%,10.1%,61.9
17,Shorty,0.5,13.1%,73.3%,13.6%,56.7
