,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.0%,80.5%,7.5%,127.4
1,Operator,0.7,9.7%,84.2%,6.1%,117.3
2,Vandal,0.7,12.9%,73.7%,13.5%,114.8
3,Guardian,0.6,11.9%,75.8%,12.3%,114
4,Phantom,0.7,11.1%,73.0%,15.9%,107.8
5,Odin,0.8,7.5%,66.4%,26.1%,102.7
6,Bulldog,0.6,10.4%,74.7%,14.9%,93.1
7,Marshal,0.3,18.5%,74.6%,6.9%,91.6
8,Ares,0.6,9.1%,69.2%,21.6%,90.8
9,Sheriff,0.5,17.6%,73.2%,9.2%,85
10,Spectre,0.6,10.0%,73.7%,16.4%,85
11,Judge,0.6,10.0%,71.2%,18.9%,79
12,Ghost,0.6,13.0%,75.2%,11.7%,74.9
13,Stinger,0.4,13.1%,71.8%,15.1%,69.5
14,Bucky,0.4,11.5%,73.5%,15.0%,68.4
15,Frenzy,0.5,12.6%,72.9%,14.5%,60.3
16,Classic,0.4,11.5%,75.7%,12.9%,58.8
17,Shorty,0.4,12.1%,71.8%,16.2%,52.8
