,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.2%,85.8%,4.0%,131.1
1,Outlaw,0.7,13.8%,82.0%,4.2%,130.6
2,Vandal,0.8,21.7%,72.2%,6.1%,124.8
3,Guardian,0.7,24.7%,70.9%,4.4%,116.6
4,Phantom,0.8,18.4%,74.2%,7.4%,116.4
5,Odin,0.9,10.1%,72.9%,17.0%,105.5
6,Marshal,0.5,24.6%,71.7%,3.7%,98.4
7,Sheriff,0.5,27.1%,69.1%,3.8%,93.7
8,Bulldog,0.7,17.6%,74.9%,7.5%,93.7
9,Ares,0.6,12.2%,73.0%,14.8%,85.8
10,Judge,0.6,12.5%,74.6%,12.9%,85
11,Spectre,0.7,14.3%,75.8%,9.9%,84.7
12,Stinger,0.6,16.4%,75.0%,8.5%,80.7
13,Ghost,0.8,23.4%,71.6%,5.0%,78.4
14,Bucky,0.5,14.9%,76.4%,8.7%,74.6
15,Classic,0.4,20.0%,73.8%,6.2%,66.7
16,Shorty,0.5,15.0%,75.0%,10.1%,66.1
17,Frenzy,0.5,17.5%,73.9%,8.5%,63.1
