,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.7,13.6%,82.0%,4.3%,132.7
1,Operator,0.9,10.1%,85.9%,4.0%,130.5
2,Vandal,0.8,20.1%,73.3%,6.6%,124.4
3,Guardian,0.7,22.7%,72.5%,4.8%,117.6
4,Phantom,0.8,17.0%,74.9%,8.1%,116.1
5,Odin,0.9,9.5%,72.6%,17.9%,106.5
6,Marshal,0.5,24.0%,72.2%,3.8%,99.3
7,Bulldog,0.7,16.1%,75.7%,8.2%,94.8
8,Sheriff,0.5,25.8%,70.1%,4.1%,92.9
9,Ares,0.6,11.4%,73.0%,15.7%,88.5
10,Spectre,0.7,13.2%,76.1%,10.6%,86
11,Judge,0.6,12.3%,74.4%,13.2%,84.9
12,Stinger,0.6,15.9%,75.1%,9.0%,80.9
13,Ghost,0.8,21.6%,72.8%,5.6%,78.9
14,Bucky,0.5,14.6%,76.3%,9.1%,74.5
15,Classic,0.4,18.4%,74.7%,6.8%,66.2
16,Shorty,0.5,14.7%,74.8%,10.6%,64.6
17,Frenzy,0.6,16.5%,74.3%,9.2%,63.6
