,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.3%,81.3%,6.4%,131
1,Operator,0.7,9.7%,84.9%,5.4%,121
2,Vandal,0.7,13.8%,74.6%,11.6%,117.2
3,Guardian,0.6,13.3%,76.5%,10.2%,115.4
4,Phantom,0.7,11.8%,74.3%,13.9%,109.7
5,Odin,0.8,7.6%,67.9%,24.5%,104.4
6,Marshal,0.4,19.6%,74.4%,5.9%,94.4
7,Bulldog,0.6,11.1%,75.8%,13.1%,94.3
8,Ares,0.6,9.3%,70.2%,20.4%,91.9
9,Sheriff,0.5,18.6%,73.8%,7.6%,86.3
10,Spectre,0.6,10.2%,74.7%,15.1%,86
11,Judge,0.6,10.6%,72.2%,17.2%,80.3
12,Ghost,0.6,14.3%,75.5%,10.2%,76.5
13,Stinger,0.5,13.6%,73.1%,13.2%,73.4
14,Bucky,0.4,12.3%,74.5%,13.2%,70
15,Frenzy,0.5,12.9%,73.8%,13.3%,61.5
16,Classic,0.4,12.4%,76.3%,11.4%,60.6
17,Shorty,0.4,12.6%,72.7%,14.7%,54.9
