,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.2%,79.3%,8.5%,123.3
1,Operator,0.7,9.8%,83.3%,6.9%,112.3
2,Vandal,0.7,12.5%,72.2%,15.3%,112
3,Guardian,0.6,11.2%,74.3%,14.6%,111.5
4,Phantom,0.7,10.8%,71.5%,17.7%,105.5
5,Odin,0.8,7.5%,65.1%,27.4%,100.1
6,Bulldog,0.5,9.9%,73.2%,16.9%,91.2
7,Ares,0.6,9.0%,68.0%,23.0%,88.5
8,Marshal,0.3,17.8%,74.0%,8.2%,87.5
9,Sheriff,0.5,18.5%,71.0%,10.5%,84.9
10,Spectre,0.5,9.9%,72.3%,17.8%,83.3
11,Judge,0.5,9.3%,69.5%,21.1%,77.3
12,Ghost,0.6,12.1%,74.4%,13.5%,72.5
13,Bucky,0.4,10.8%,72.1%,17.1%,67.3
14,Stinger,0.4,12.6%,70.1%,17.3%,65.6
15,Frenzy,0.5,12.4%,72.0%,15.7%,58.5
16,Classic,0.4,11.0%,74.6%,14.4%,56.5
17,Shorty,0.4,11.7%,70.4%,17.9%,51.3
