,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.4%,85.6%,4.0%,132.3
1,Outlaw,0.7,14.2%,81.7%,4.1%,129.2
2,Vandal,0.8,23.7%,70.7%,5.6%,125.3
3,Phantom,0.8,20.3%,72.9%,6.8%,116.8
4,Guardian,0.7,27.4%,68.6%,4.0%,116.1
5,Odin,0.8,10.9%,72.8%,16.2%,103.9
6,Marshal,0.5,25.5%,71.0%,3.5%,98
7,Sheriff,0.5,29.0%,67.5%,3.5%,95.6
8,Bulldog,0.7,19.8%,73.4%,6.8%,92.8
9,Judge,0.6,12.6%,74.7%,12.7%,84.8
10,Spectre,0.7,15.8%,75.1%,9.1%,83.1
11,Ares,0.6,13.5%,72.6%,14.0%,82.5
12,Stinger,0.5,17.2%,74.9%,8.0%,80.6
13,Ghost,0.8,25.7%,69.8%,4.4%,78.1
14,Bucky,0.5,15.1%,76.6%,8.3%,74.7
15,Shorty,0.5,15.1%,75.2%,9.6%,68.9
16,Classic,0.4,22.1%,72.4%,5.5%,67.6
17,Frenzy,0.5,18.9%,73.3%,7.8%,62.8
