,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.9%,82.2%,4.9%,133.9
1,Operator,0.8,9.8%,85.9%,4.3%,127.8
2,Vandal,0.8,17.1%,74.7%,8.1%,122.1
3,Guardian,0.7,18.3%,75.4%,6.3%,117.6
4,Phantom,0.8,14.3%,75.6%,10.0%,114.1
5,Odin,0.9,8.5%,71.2%,20.3%,106.9
6,Marshal,0.4,22.4%,73.3%,4.4%,99
7,Bulldog,0.7,13.5%,76.7%,9.8%,95.4
8,Ares,0.6,10.2%,72.3%,17.5%,91.5
9,Sheriff,0.5,22.7%,72.2%,5.1%,90.2
10,Spectre,0.6,11.5%,76.2%,12.3%,87.1
11,Judge,0.6,11.8%,73.9%,14.3%,83.8
12,Stinger,0.5,14.8%,74.8%,10.4%,79.4
13,Ghost,0.7,18.2%,74.7%,7.1%,78.7
14,Bucky,0.5,13.9%,75.9%,10.2%,73.3
15,Classic,0.4,15.5%,76.1%,8.4%,64.2
16,Frenzy,0.6,14.6%,74.7%,10.7%,63.4
17,Shorty,0.5,14.0%,74.2%,11.8%,60.6
