,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,13.7%,82.0%,4.3%,131.1
1,Operator,0.9,10.2%,85.8%,4.0%,130.4
2,Vandal,0.8,20.9%,72.7%,6.4%,124.2
3,Guardian,0.7,23.6%,71.7%,4.6%,116.4
4,Phantom,0.8,17.7%,74.6%,7.8%,115.8
5,Odin,0.9,9.8%,72.7%,17.5%,105.6
6,Marshal,0.5,24.2%,72.0%,3.8%,98.1
7,Bulldog,0.7,16.9%,75.3%,7.8%,93.8
8,Sheriff,0.5,26.4%,69.6%,4.0%,92.9
9,Ares,0.6,11.7%,73.0%,15.3%,86.7
10,Spectre,0.7,13.8%,76.0%,10.3%,85
11,Judge,0.6,12.5%,74.5%,13.1%,84.6
12,Stinger,0.6,16.2%,75.0%,8.8%,80.5
13,Ghost,0.8,22.5%,72.2%,5.3%,78.3
14,Bucky,0.5,14.8%,76.3%,8.9%,74.2
15,Classic,0.4,19.2%,74.3%,6.5%,66.2
16,Shorty,0.5,14.8%,74.8%,10.4%,65
17,Frenzy,0.5,17.0%,74.1%,8.9%,63
