,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.4%,85.4%,4.1%,132.9
1,Outlaw,0.7,14.3%,81.7%,4.0%,128.4
2,Vandal,0.8,25.0%,69.6%,5.4%,125.5
3,Phantom,0.8,21.4%,72.0%,6.6%,116.8
4,Guardian,0.7,29.0%,67.1%,3.8%,115.8
5,Odin,0.8,11.4%,72.5%,16.1%,102.5
6,Marshal,0.5,26.2%,70.4%,3.4%,97.6
7,Sheriff,0.5,30.1%,66.5%,3.4%,96.8
8,Bulldog,0.7,21.3%,72.3%,6.4%,92.2
9,Judge,0.6,12.6%,74.8%,12.7%,84.7
10,Spectre,0.7,16.8%,74.6%,8.6%,82
11,Ares,0.6,14.2%,72.4%,13.4%,80.8
12,Stinger,0.5,17.6%,74.7%,7.7%,80.2
13,Ghost,0.8,27.2%,68.6%,4.1%,77.8
14,Bucky,0.5,15.0%,76.7%,8.4%,74.7
15,Shorty,0.5,15.1%,75.4%,9.5%,70.6
16,Classic,0.4,23.4%,71.4%,5.2%,67.9
17,Frenzy,0.5,19.6%,72.9%,7.4%,62.7
