,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.3%,85.7%,4.0%,131.8
1,Outlaw,0.7,14.1%,81.8%,4.1%,129.4
2,Vandal,0.8,23.1%,71.2%,5.8%,125.1
3,Phantom,0.8,19.7%,73.3%,7.0%,116.5
4,Guardian,0.7,26.5%,69.3%,4.1%,116.1
5,Odin,0.8,10.7%,72.9%,16.5%,104.4
6,Marshal,0.5,25.2%,71.3%,3.5%,97.8
7,Sheriff,0.5,28.4%,68.0%,3.6%,94.8
8,Bulldog,0.7,19.1%,73.9%,7.0%,93
9,Judge,0.6,12.6%,74.7%,12.7%,84.9
10,Ares,0.6,13.0%,72.8%,14.2%,83.4
11,Spectre,0.7,15.4%,75.3%,9.3%,83.4
12,Stinger,0.5,17.0%,74.9%,8.1%,80.5
13,Ghost,0.8,25.0%,70.4%,4.6%,78.1
14,Bucky,0.5,15.1%,76.5%,8.4%,74.6
15,Shorty,0.5,15.1%,75.1%,9.8%,67.8
16,Classic,0.4,21.4%,72.8%,5.8%,67.2
17,Frenzy,0.5,18.5%,73.4%,8.1%,62.9
