,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.7%,84.9%,4.4%,135.2
1,Outlaw,0.8,12.1%,84.3%,3.6%,127.8
2,Vandal,0.8,30.2%,64.9%,4.9%,126.7
3,Guardian,0.7,34.7%,61.9%,3.4%,118.8
4,Phantom,0.8,25.6%,68.3%,6.1%,116.6
5,Sheriff,0.5,34.5%,62.5%,3.0%,101.6
6,Marshal,0.6,28.3%,68.6%,3.1%,98.6
7,Odin,0.8,13.2%,70.7%,16.1%,97.7
8,Bulldog,0.7,27.1%,67.6%,5.3%,91.5
9,Judge,0.7,11.8%,74.7%,13.5%,85.6
10,Shorty,0.7,14.9%,75.6%,9.6%,80.5
11,Stinger,0.5,18.4%,74.3%,7.3%,79.7
12,Spectre,0.7,19.9%,72.6%,7.5%,78.6
13,Ghost,0.8,32.8%,63.7%,3.4%,77.9
14,Ares,0.6,15.6%,71.5%,12.8%,77.6
15,Bucky,0.5,13.8%,77.3%,8.9%,76.3
16,Classic,0.5,27.9%,67.7%,4.4%,69.4
17,Frenzy,0.6,21.8%,71.6%,6.6%,62.7
