,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.3%,85.8%,4.0%,131.7
1,Outlaw,0.7,14.0%,81.9%,4.1%,130.3
2,Vandal,0.8,22.4%,71.7%,5.9%,125.1
3,Guardian,0.7,25.7%,70.1%,4.2%,116.8
4,Phantom,0.8,19.1%,73.8%,7.2%,116.8
5,Odin,0.9,10.4%,73.0%,16.7%,105.1
6,Marshal,0.5,24.9%,71.5%,3.6%,98.3
7,Sheriff,0.5,27.8%,68.5%,3.7%,94.6
8,Bulldog,0.7,18.4%,74.4%,7.2%,93.6
9,Judge,0.6,12.6%,74.7%,12.8%,85.1
10,Ares,0.6,12.6%,72.9%,14.5%,84.8
11,Spectre,0.7,14.8%,75.6%,9.6%,84.3
12,Stinger,0.6,16.7%,75.0%,8.3%,80.9
13,Ghost,0.8,24.2%,71.0%,4.8%,78.5
14,Bucky,0.5,15.0%,76.5%,8.5%,74.8
15,Shorty,0.5,15.1%,75.1%,9.9%,67.3
16,Classic,0.4,20.7%,73.3%,6.0%,67.1
17,Frenzy,0.5,18.1%,73.6%,8.3%,63.2
