,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,13.3%,82.0%,4.6%,133.7
1,Operator,0.9,9.9%,85.9%,4.2%,128.8
2,Vandal,0.8,18.3%,74.2%,7.4%,122.9
3,Guardian,0.7,20.0%,74.3%,5.6%,117.3
4,Phantom,0.8,15.4%,75.5%,9.2%,114.7
5,Odin,0.9,8.9%,71.8%,19.3%,106.5
6,Marshal,0.5,23.0%,72.8%,4.2%,99
7,Bulldog,0.7,14.5%,76.4%,9.1%,94.9
8,Sheriff,0.5,24.0%,71.4%,4.6%,91
9,Ares,0.6,10.6%,72.6%,16.8%,90.2
10,Spectre,0.7,12.1%,76.2%,11.6%,86.5
11,Judge,0.6,12.0%,74.1%,13.9%,84
12,Stinger,0.6,15.3%,75.0%,9.8%,80
13,Ghost,0.7,19.5%,74.0%,6.5%,78.6
14,Bucky,0.5,14.3%,76.1%,9.7%,73.6
15,Classic,0.4,16.6%,75.6%,7.7%,64.8
16,Frenzy,0.6,15.3%,74.6%,10.1%,63.2
17,Shorty,0.5,14.3%,74.4%,11.3%,61.9
