,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.9%,84.9%,4.2%,137.2
1,Outlaw,0.9,10.9%,85.8%,3.3%,128.3
2,Vandal,0.8,31.9%,63.3%,4.8%,127.1
3,Guardian,0.7,35.7%,60.9%,3.4%,122.6
4,Phantom,0.8,27.1%,66.9%,6.0%,117.1
5,Sheriff,0.6,35.4%,61.8%,2.8%,102.5
6,Marshal,0.6,28.8%,68.4%,2.9%,98.6
7,Odin,0.8,14.0%,70.3%,15.7%,96.1
8,Bulldog,0.8,29.0%,66.2%,4.8%,92.1
9,Judge,0.7,11.4%,75.1%,13.5%,86.4
10,Shorty,0.8,15.1%,75.2%,9.7%,85.3
11,Stinger,0.6,17.9%,74.5%,7.6%,81.7
12,Bucky,0.6,13.7%,77.6%,8.7%,79
13,Ghost,0.8,34.6%,62.1%,3.3%,78.2
14,Spectre,0.7,20.7%,72.2%,7.1%,77.9
15,Ares,0.6,14.9%,71.4%,13.7%,76.7
16,Classic,0.5,29.2%,66.5%,4.3%,70.6
17,Frenzy,0.7,21.4%,72.2%,6.4%,63.4
