,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.6%,85.0%,4.4%,135.9
1,Outlaw,0.8,11.4%,85.0%,3.6%,127.1
2,Vandal,0.8,31.1%,64.0%,4.9%,126.7
3,Guardian,0.7,35.6%,60.9%,3.5%,119.8
4,Phantom,0.8,26.2%,67.7%,6.2%,116.3
5,Sheriff,0.5,35.3%,61.8%,2.9%,102
6,Marshal,0.6,28.4%,68.7%,2.9%,97.8
7,Odin,0.8,13.4%,70.9%,15.7%,97.2
8,Bulldog,0.7,27.9%,66.9%,5.1%,91
9,Judge,0.7,11.6%,74.8%,13.6%,85.6
10,Shorty,0.8,14.7%,75.7%,9.6%,81.9
11,Stinger,0.5,18.3%,74.2%,7.4%,79.5
12,Ares,0.6,15.0%,72.5%,12.5%,78.8
13,Spectre,0.7,20.4%,72.3%,7.4%,77.9
14,Ghost,0.8,33.9%,62.8%,3.4%,77.9
15,Bucky,0.5,13.8%,77.3%,8.9%,77.5
16,Classic,0.5,28.4%,67.1%,4.5%,69.6
17,Frenzy,0.6,21.5%,71.7%,6.8%,62.4
