,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.7%,84.9%,4.4%,135.1
1,Outlaw,0.8,12.5%,83.9%,3.6%,127
2,Vandal,0.8,29.5%,65.6%,5.0%,126.7
3,Guardian,0.7,33.9%,62.6%,3.5%,118.2
4,Phantom,0.8,25.1%,68.8%,6.1%,116.9
5,Sheriff,0.5,33.8%,63.1%,3.0%,101
6,Marshal,0.6,27.9%,69.0%,3.1%,98.2
7,Odin,0.8,12.8%,71.3%,15.9%,98.2
8,Bulldog,0.7,26.4%,68.2%,5.4%,91.6
9,Judge,0.7,12.0%,74.9%,13.1%,85.3
10,Stinger,0.5,18.4%,74.3%,7.2%,79.5
11,Spectre,0.7,19.5%,72.9%,7.6%,79
12,Shorty,0.7,15.0%,75.5%,9.5%,78.4
13,Ares,0.6,15.7%,71.7%,12.6%,78.2
14,Ghost,0.8,32.1%,64.4%,3.5%,77.8
15,Bucky,0.5,14.2%,77.3%,8.6%,76.8
16,Classic,0.4,27.2%,68.3%,4.5%,69.2
17,Frenzy,0.6,21.3%,71.9%,6.7%,62.7
