,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.6%,85.1%,4.3%,134.7
1,Outlaw,0.7,13.4%,82.8%,3.8%,127.8
2,Vandal,0.8,28.0%,67.0%,5.1%,126.5
3,Phantom,0.8,23.9%,69.9%,6.2%,117.2
4,Guardian,0.7,32.3%,64.1%,3.6%,117.1
5,Odin,0.8,12.4%,71.7%,15.9%,100.3
6,Sheriff,0.5,32.6%,64.2%,3.1%,100.1
7,Marshal,0.6,27.4%,69.5%,3.2%,98.7
8,Bulldog,0.7,24.7%,69.7%,5.7%,91.9
9,Judge,0.7,12.2%,74.9%,12.9%,85.4
10,Spectre,0.7,18.6%,73.5%,7.9%,80.3
11,Stinger,0.5,18.3%,74.4%,7.4%,80.1
12,Ares,0.6,15.4%,71.6%,13.0%,79
13,Ghost,0.8,30.4%,65.9%,3.7%,77.9
14,Shorty,0.6,15.1%,75.5%,9.4%,76.3
15,Bucky,0.5,14.6%,77.0%,8.4%,75.7
16,Classic,0.4,25.9%,69.4%,4.7%,69
17,Frenzy,0.6,20.8%,72.2%,7.0%,62.9
