,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.6%,85.2%,4.3%,134.4
1,Outlaw,0.7,13.7%,82.4%,3.9%,127.8
2,Vandal,0.8,27.2%,67.7%,5.2%,126.2
3,Phantom,0.8,23.3%,70.5%,6.3%,117.2
4,Guardian,0.7,31.5%,64.8%,3.7%,116.6
5,Odin,0.8,12.2%,71.9%,15.9%,100.7
6,Sheriff,0.5,32.0%,64.8%,3.2%,99.2
7,Marshal,0.6,27.1%,69.7%,3.2%,98.5
8,Bulldog,0.7,23.8%,70.4%,5.8%,91.9
9,Judge,0.7,12.3%,74.9%,12.8%,85.2
10,Spectre,0.7,18.1%,73.8%,8.1%,80.6
11,Stinger,0.5,18.1%,74.4%,7.5%,79.9
12,Ares,0.6,15.0%,71.9%,13.1%,79.5
13,Ghost,0.8,29.6%,66.6%,3.8%,77.8
14,Bucky,0.5,14.6%,77.0%,8.3%,75.5
15,Shorty,0.6,15.1%,75.5%,9.4%,74.8
16,Classic,0.4,25.3%,69.9%,4.8%,68.7
17,Frenzy,0.6,20.5%,72.5%,7.0%,62.7
