,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.9%,85.9%,4.3%,132.3
1,Vandal,0.8,28.6%,66.6%,4.8%,129.3
2,Outlaw,0.7,12.0%,84.2%,3.8%,126.3
3,Phantom,0.8,24.4%,69.7%,5.8%,120.5
4,Guardian,0.7,33.7%,63.0%,3.3%,118.1
5,Odin,0.8,12.1%,74.1%,13.8%,104.7
6,Sheriff,0.5,34.5%,62.6%,2.8%,102
7,Marshal,0.6,25.3%,71.3%,3.4%,94.4
8,Bulldog,0.7,25.1%,69.4%,5.5%,94
9,Judge,0.6,12.2%,75.3%,12.5%,84
10,Spectre,0.7,18.6%,73.6%,7.8%,81.9
11,Ares,0.6,15.2%,73.1%,11.7%,81.6
12,Stinger,0.5,18.3%,74.5%,7.2%,81.5
13,Ghost,0.8,31.3%,65.3%,3.4%,79.7
14,Shorty,0.6,15.4%,75.6%,9.0%,77
15,Bucky,0.5,14.5%,77.4%,8.0%,74.6
16,Classic,0.4,27.0%,68.7%,4.4%,69.7
17,Frenzy,0.5,20.6%,72.4%,6.9%,63.1
