,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.3%,86.9%,3.9%,129.9
1,Outlaw,0.7,12.6%,83.3%,4.1%,129.4
2,Vandal,0.8,22.6%,71.8%,5.6%,127.1
3,Phantom,0.8,19.1%,74.0%,6.9%,119.3
4,Guardian,0.7,26.2%,69.8%,4.0%,117.5
5,Odin,0.9,10.0%,74.4%,15.5%,107.7
6,Sheriff,0.5,28.7%,67.8%,3.5%,95.5
7,Marshal,0.5,23.7%,72.7%,3.6%,95.4
8,Bulldog,0.7,18.3%,74.6%,7.1%,95
9,Ares,0.6,12.5%,73.6%,13.9%,86.4
10,Spectre,0.7,14.7%,75.8%,9.5%,86
11,Judge,0.6,12.7%,74.7%,12.6%,84.6
12,Stinger,0.6,16.7%,75.2%,8.1%,82.4
13,Ghost,0.8,24.6%,70.8%,4.6%,79.7
14,Bucky,0.5,15.1%,76.7%,8.3%,73.9
15,Classic,0.4,21.1%,73.0%,5.9%,67.6
16,Shorty,0.5,15.2%,75.0%,9.8%,65.9
17,Frenzy,0.5,18.0%,73.7%,8.3%,63.7
