,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.7,12.6%,83.2%,4.2%,129.6
1,Operator,0.9,9.2%,86.9%,3.9%,129.2
2,Vandal,0.8,21.8%,72.4%,5.8%,126.6
3,Phantom,0.8,18.4%,74.4%,7.2%,118.8
4,Guardian,0.7,25.2%,70.7%,4.2%,116.9
5,Odin,0.9,9.8%,74.1%,16.1%,107.8
6,Marshal,0.5,23.4%,72.9%,3.7%,95.9
7,Bulldog,0.7,17.5%,75.1%,7.4%,95
8,Sheriff,0.5,27.9%,68.5%,3.6%,94.5
9,Ares,0.6,12.1%,73.6%,14.3%,87.4
10,Spectre,0.7,14.2%,76.0%,9.8%,86.3
11,Judge,0.6,12.7%,74.6%,12.7%,84.5
12,Stinger,0.6,16.6%,75.1%,8.3%,82.3
13,Ghost,0.8,23.7%,71.4%,4.9%,79.6
14,Bucky,0.5,15.1%,76.5%,8.4%,74
15,Classic,0.4,20.3%,73.5%,6.2%,67.1
16,Shorty,0.5,15.0%,75.0%,10.0%,64.7
17,Frenzy,0.5,17.4%,74.0%,8.6%,63.5
