,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.4%,86.6%,4.0%,130.7
1,Outlaw,0.7,12.9%,83.1%,4.0%,128.3
2,Vandal,0.8,24.7%,70.1%,5.2%,127.9
3,Phantom,0.8,21.1%,72.6%,6.3%,119.9
4,Guardian,0.7,28.9%,67.4%,3.7%,116.9
5,Odin,0.8,10.9%,74.5%,14.6%,106.5
6,Sheriff,0.5,30.8%,66.0%,3.2%,97.5
7,Marshal,0.5,24.3%,72.1%,3.6%,94.6
8,Bulldog,0.7,20.7%,72.9%,6.5%,94.2
9,Spectre,0.7,16.2%,75.0%,8.7%,84.4
10,Judge,0.6,12.7%,74.9%,12.4%,83.8
11,Ares,0.6,13.8%,73.5%,12.8%,83.6
12,Stinger,0.5,17.5%,75.0%,7.5%,82.2
13,Ghost,0.8,27.0%,69.0%,4.0%,79.5
14,Bucky,0.5,15.3%,76.8%,7.9%,73.7
15,Shorty,0.5,15.3%,75.4%,9.3%,68.8
16,Classic,0.4,23.4%,71.4%,5.2%,68.4
17,Frenzy,0.5,19.3%,73.1%,7.6%,63.3
