,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,11.4%,80.0%,8.5%,120
1,Vandal,0.7,12.3%,72.4%,15.3%,112.1
2,Guardian,0.6,10.8%,74.6%,14.6%,110.8
3,Operator,0.6,8.8%,84.3%,6.9%,110
4,Phantom,0.7,10.7%,71.6%,17.7%,106.1
5,Odin,0.8,7.2%,65.1%,27.7%,100.9
6,Bulldog,0.5,9.7%,73.4%,16.9%,90.8
7,Ares,0.6,8.9%,68.1%,23.0%,88.8
8,Sheriff,0.5,18.4%,70.9%,10.6%,84.6
9,Marshal,0.3,17.0%,74.5%,8.5%,84.5
10,Spectre,0.5,9.6%,72.5%,17.9%,83.9
11,Judge,0.5,9.3%,69.3%,21.4%,77.7
12,Ghost,0.6,11.9%,74.6%,13.5%,72.5
13,Bucky,0.4,10.9%,72.0%,17.2%,67.5
14,Stinger,0.4,12.6%,70.0%,17.4%,66.2
15,Frenzy,0.5,12.5%,71.7%,15.8%,59.1
16,Classic,0.3,10.7%,74.7%,14.6%,56.3
17,Shorty,0.4,11.4%,70.0%,18.6%,50.2
