,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.2%,83.3%,4.5%,131.9
1,Operator,0.9,9.0%,87.0%,4.0%,128.1
2,Vandal,0.8,19.1%,74.1%,6.8%,125.1
3,Guardian,0.7,21.5%,73.5%,5.0%,117.6
4,Phantom,0.8,16.0%,75.6%,8.4%,117.5
5,Odin,0.9,8.9%,73.1%,18.0%,108.6
6,Marshal,0.5,22.4%,73.6%,4.0%,96.8
7,Bulldog,0.7,15.0%,76.5%,8.6%,95.8
8,Sheriff,0.5,25.3%,70.5%,4.2%,92.4
9,Ares,0.6,10.9%,73.3%,15.8%,90.7
10,Spectre,0.7,12.4%,76.5%,11.2%,87.8
11,Judge,0.6,12.4%,74.1%,13.5%,84.2
12,Stinger,0.6,15.6%,75.1%,9.2%,81.9
13,Ghost,0.8,20.6%,73.5%,5.9%,79.6
14,Bucky,0.5,14.8%,76.1%,9.1%,73.5
15,Classic,0.4,17.6%,75.1%,7.3%,65.8
16,Frenzy,0.6,15.8%,74.4%,9.8%,64.1
17,Shorty,0.5,14.5%,74.5%,11.0%,62.1
