,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,10.8%,81.5%,7.7%,123.9
1,Vandal,0.7,12.7%,73.9%,13.4%,115.1
2,Operator,0.7,8.6%,85.2%,6.1%,115
3,Guardian,0.6,11.7%,76.0%,12.3%,113.2
4,Phantom,0.7,11.0%,73.2%,15.8%,108.4
5,Odin,0.8,7.2%,66.6%,26.2%,103.3
6,Bulldog,0.6,10.2%,74.9%,15.0%,92.9
7,Ares,0.6,9.0%,69.5%,21.5%,90.9
8,Marshal,0.3,17.3%,75.6%,7.2%,88.2
9,Spectre,0.6,9.7%,73.9%,16.4%,85.7
10,Sheriff,0.5,17.3%,73.5%,9.2%,84.7
11,Judge,0.6,10.0%,70.9%,19.1%,79.1
12,Ghost,0.6,12.7%,75.5%,11.8%,75
13,Stinger,0.4,13.0%,72.0%,14.9%,70
14,Bucky,0.4,11.4%,73.5%,15.1%,68.4
15,Frenzy,0.5,12.2%,72.8%,15.0%,59.9
16,Classic,0.4,11.1%,75.7%,13.2%,58.6
17,Shorty,0.4,12.1%,71.8%,16.1%,52.3
