,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.1%,83.2%,4.6%,132.4
1,Operator,0.9,8.9%,86.9%,4.1%,127.1
2,Vandal,0.8,18.2%,74.5%,7.3%,124.2
3,Guardian,0.7,20.1%,74.4%,5.5%,117.1
4,Phantom,0.8,15.2%,75.8%,9.0%,116.5
5,Odin,0.9,8.5%,72.5%,18.9%,108.3
6,Marshal,0.4,22.0%,73.8%,4.2%,96.6
7,Bulldog,0.7,14.2%,76.7%,9.1%,95.8
8,Ares,0.6,10.5%,73.0%,16.5%,91.3
9,Sheriff,0.5,24.3%,71.2%,4.5%,91.3
10,Spectre,0.7,11.8%,76.4%,11.7%,87.9
11,Judge,0.6,12.2%,74.0%,13.9%,83.8
12,Stinger,0.6,15.2%,75.1%,9.7%,81.2
13,Ghost,0.7,19.5%,74.1%,6.4%,79.4
14,Bucky,0.5,14.3%,76.1%,9.6%,72.9
15,Classic,0.4,16.6%,75.5%,7.9%,65
16,Frenzy,0.6,15.2%,74.5%,10.3%,63.6
17,Shorty,0.5,14.3%,74.3%,11.4%,60.8
