,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.9%,86.3%,3.8%,135.6
1,Vandal,0.8,32.9%,62.6%,4.5%,130.2
2,Guardian,0.7,37.9%,59.0%,3.0%,124.7
3,Outlaw,0.9,9.0%,88.0%,2.9%,124.4
4,Phantom,0.8,27.8%,66.6%,5.5%,120.8
5,Sheriff,0.5,38.2%,59.2%,2.5%,105.1
6,Odin,0.8,15.3%,72.6%,12.1%,102.3
7,Bulldog,0.8,30.4%,65.0%,4.6%,94.4
8,Marshal,0.7,25.7%,71.5%,2.8%,94.1
9,Judge,0.6,11.4%,75.9%,12.7%,84.9
10,Shorty,0.8,16.3%,73.7%,10.0%,83.3
11,Stinger,0.6,17.7%,75.6%,6.7%,82.3
12,Ghost,0.8,35.9%,61.2%,2.9%,80.3
13,Spectre,0.7,20.2%,72.7%,7.1%,77.3
14,Bucky,0.5,13.5%,77.1%,9.3%,75.6
15,Ares,0.5,11.8%,73.1%,15.1%,74.6
16,Classic,0.5,30.0%,65.7%,4.3%,70.2
17,Frenzy,0.6,22.0%,72.1%,5.9%,66.1
