,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,11.3%,82.8%,6.0%,130.3
1,Operator,0.8,8.7%,86.3%,5.0%,122
2,Vandal,0.8,14.6%,75.3%,10.1%,119.8
3,Guardian,0.6,14.7%,76.9%,8.5%,115.9
4,Phantom,0.8,12.3%,75.4%,12.3%,112.6
5,Odin,0.9,7.5%,69.6%,22.9%,106.7
6,Bulldog,0.6,11.4%,76.8%,11.8%,95
7,Marshal,0.4,19.6%,75.1%,5.4%,93.8
8,Ares,0.6,9.4%,71.4%,19.3%,92.8
9,Spectre,0.6,10.1%,75.7%,14.2%,87.6
10,Sheriff,0.5,19.9%,73.7%,6.4%,87.5
11,Judge,0.6,11.2%,72.8%,16.0%,81.8
12,Ghost,0.7,15.4%,75.7%,8.9%,77.8
13,Stinger,0.5,14.0%,74.0%,11.9%,77.3
14,Bucky,0.5,13.0%,75.2%,11.8%,71
15,Frenzy,0.5,13.1%,74.3%,12.6%,62.1
16,Classic,0.4,13.1%,76.5%,10.4%,61.8
17,Shorty,0.4,13.2%,73.1%,13.8%,55.8
