,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.7%,86.1%,4.2%,132
1,Vandal,0.8,27.8%,67.3%,4.8%,128.9
2,Outlaw,0.7,12.2%,83.9%,4.0%,126.6
3,Phantom,0.8,23.8%,70.4%,5.9%,120.4
4,Guardian,0.7,32.8%,63.9%,3.4%,117.1
5,Odin,0.8,12.0%,74.3%,13.8%,105.1
6,Sheriff,0.5,33.8%,63.3%,2.9%,101
7,Marshal,0.6,25.0%,71.6%,3.3%,94.4
8,Bulldog,0.7,24.1%,70.2%,5.7%,93.7
9,Judge,0.6,12.5%,75.1%,12.4%,83.7
10,Spectre,0.7,18.1%,74.0%,7.9%,82.2
11,Stinger,0.5,18.2%,74.6%,7.2%,81.7
12,Ares,0.6,14.7%,73.6%,11.7%,81.6
13,Ghost,0.8,30.4%,66.1%,3.5%,79.5
14,Bucky,0.5,14.9%,77.2%,7.9%,74.9
15,Shorty,0.6,15.4%,75.6%,9.0%,74.2
16,Classic,0.4,26.2%,69.2%,4.5%,69.3
17,Frenzy,0.5,20.5%,72.6%,6.9%,62.9
