,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.3%,86.7%,4.0%,129.8
1,Outlaw,0.7,12.8%,83.1%,4.0%,128.5
2,Vandal,0.8,23.3%,71.2%,5.5%,127.2
3,Phantom,0.8,19.8%,73.5%,6.7%,119.2
4,Guardian,0.7,27.1%,69.1%,3.9%,116.4
5,Odin,0.9,10.4%,74.4%,15.2%,107.1
6,Sheriff,0.5,29.4%,67.2%,3.4%,95.8
7,Marshal,0.5,23.9%,72.5%,3.6%,94.9
8,Bulldog,0.7,19.1%,74.0%,6.9%,94.4
9,Ares,0.6,13.0%,73.6%,13.3%,85.1
10,Spectre,0.7,15.2%,75.5%,9.3%,85.1
11,Judge,0.6,12.7%,74.8%,12.5%,84.1
12,Stinger,0.5,17.0%,75.1%,7.8%,82.1
13,Ghost,0.8,25.4%,70.2%,4.4%,79.4
14,Bucky,0.5,15.2%,76.7%,8.1%,73.7
15,Classic,0.4,21.9%,72.5%,5.6%,67.7
16,Shorty,0.5,15.2%,75.2%,9.6%,66.7
17,Frenzy,0.5,18.4%,73.4%,8.1%,63.5
