,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.5%,83.3%,4.3%,130.2
1,Operator,0.9,9.1%,86.9%,3.9%,128.8
2,Vandal,0.8,21.0%,72.9%,6.1%,126
3,Phantom,0.8,17.6%,74.9%,7.5%,118.2
4,Guardian,0.7,24.0%,71.6%,4.4%,116.5
5,Odin,0.9,9.5%,73.8%,16.7%,107.9
6,Marshal,0.5,23.1%,73.1%,3.8%,95.6
7,Bulldog,0.7,16.7%,75.6%,7.8%,95
8,Sheriff,0.5,27.1%,69.1%,3.8%,93.6
9,Ares,0.6,11.6%,73.6%,14.8%,88
10,Spectre,0.7,13.6%,76.1%,10.3%,86.6
11,Judge,0.6,12.6%,74.4%,13.0%,84.1
12,Stinger,0.6,16.2%,75.2%,8.6%,81.8
13,Ghost,0.8,22.7%,72.1%,5.2%,79.4
14,Bucky,0.5,15.0%,76.4%,8.5%,73.4
15,Classic,0.4,19.4%,74.1%,6.5%,66.6
16,Shorty,0.5,14.9%,74.7%,10.4%,64
17,Frenzy,0.5,16.9%,74.2%,8.9%,63.7
