,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.9%,85.8%,4.3%,133.1
1,Vandal,0.8,30.3%,65.0%,4.6%,129.6
2,Outlaw,0.8,10.7%,85.8%,3.5%,125.1
3,Phantom,0.8,25.8%,68.6%,5.6%,120.1
4,Guardian,0.7,35.5%,61.2%,3.2%,119.5
5,Sheriff,0.5,35.9%,61.4%,2.7%,102.9
6,Odin,0.8,11.8%,74.8%,13.4%,102
7,Marshal,0.6,25.0%,71.8%,3.2%,93.7
8,Bulldog,0.7,26.9%,67.9%,5.2%,93.5
9,Judge,0.6,12.3%,75.2%,12.5%,83.7
10,Stinger,0.5,18.4%,74.8%,6.8%,81.2
11,Ares,0.6,15.2%,73.2%,11.6%,80.9
12,Spectre,0.7,19.5%,73.2%,7.3%,80.9
13,Ghost,0.8,33.1%,63.7%,3.2%,79.7
14,Shorty,0.7,15.2%,75.9%,8.8%,77.9
15,Bucky,0.5,14.2%,77.9%,7.9%,76.2
16,Classic,0.4,28.3%,67.4%,4.2%,69.8
17,Frenzy,0.6,21.6%,71.9%,6.5%,62.9
