,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.7,12.3%,83.3%,4.3%,131.9
1,Operator,0.9,9.1%,87.0%,3.9%,128.9
2,Vandal,0.9,20.1%,73.5%,6.4%,126
3,Phantom,0.8,16.9%,75.3%,7.9%,118.2
4,Guardian,0.7,22.9%,72.5%,4.6%,117.8
5,Odin,0.9,9.2%,73.6%,17.2%,108.6
6,Marshal,0.5,22.9%,73.2%,3.9%,96.8
7,Bulldog,0.7,15.9%,76.0%,8.1%,95.9
8,Sheriff,0.5,26.3%,69.7%,3.9%,93.5
9,Ares,0.6,11.2%,73.6%,15.2%,89.7
10,Spectre,0.7,13.0%,76.3%,10.7%,87.5
11,Judge,0.6,12.5%,74.4%,13.1%,84.5
12,Stinger,0.6,16.0%,75.2%,8.8%,82.3
13,Ghost,0.8,21.7%,72.8%,5.5%,79.8
14,Bucky,0.5,14.8%,76.3%,8.9%,73.6
15,Classic,0.4,18.6%,74.5%,6.9%,66.5
16,Frenzy,0.6,16.3%,74.4%,9.3%,64.1
17,Shorty,0.5,14.7%,74.8%,10.5%,63.4
