,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.4%,86.7%,3.9%,130.3
1,Outlaw,0.7,12.9%,83.1%,4.0%,128.6
2,Vandal,0.8,24.0%,70.6%,5.3%,127.5
3,Phantom,0.8,20.5%,73.1%,6.5%,119.6
4,Guardian,0.7,28.1%,68.1%,3.7%,116.5
5,Odin,0.8,10.7%,74.5%,14.8%,107
6,Sheriff,0.5,30.1%,66.6%,3.3%,96.8
7,Marshal,0.5,24.0%,72.4%,3.6%,95
8,Bulldog,0.7,19.9%,73.5%,6.6%,94.5
9,Spectre,0.7,15.8%,75.3%,8.9%,84.8
10,Ares,0.6,13.4%,73.4%,13.3%,84.2
11,Judge,0.6,12.8%,74.8%,12.4%,83.7
12,Stinger,0.5,17.3%,75.0%,7.7%,82
13,Ghost,0.8,26.2%,69.6%,4.2%,79.4
14,Bucky,0.5,15.3%,76.6%,8.1%,73.6
15,Classic,0.4,22.6%,72.0%,5.4%,68.1
16,Shorty,0.5,15.3%,75.3%,9.5%,67.9
17,Frenzy,0.5,18.9%,73.4%,7.7%,63.2
