,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,11.7%,83.3%,5.0%,132.3
1,Operator,0.8,8.8%,86.9%,4.3%,126.1
2,Vandal,0.8,16.9%,75.1%,8.0%,123.2
3,Guardian,0.7,18.2%,75.6%,6.2%,117.4
4,Phantom,0.8,14.1%,76.0%,9.9%,115.7
5,Odin,0.9,8.2%,71.8%,20.0%,108.4
6,Marshal,0.4,21.3%,74.3%,4.5%,96.5
7,Bulldog,0.7,13.2%,77.0%,9.8%,96.1
8,Ares,0.6,10.1%,72.6%,17.3%,92.5
9,Sheriff,0.5,22.9%,72.1%,5.0%,90.3
10,Spectre,0.7,11.2%,76.4%,12.4%,88.4
11,Judge,0.6,11.9%,73.7%,14.4%,83.7
12,Stinger,0.6,14.8%,74.8%,10.3%,80.6
13,Ghost,0.7,18.1%,74.8%,7.1%,79.3
14,Bucky,0.5,14.1%,75.9%,10.0%,73.1
15,Classic,0.4,15.4%,76.1%,8.6%,64.2
16,Frenzy,0.6,14.5%,74.6%,10.9%,63.8
17,Shorty,0.4,14.0%,73.9%,12.1%,59.3
