,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.6%,86.2%,4.1%,131.9
1,Vandal,0.8,27.0%,68.1%,4.9%,128.6
2,Outlaw,0.7,12.5%,83.5%,4.0%,126.8
3,Phantom,0.8,23.0%,71.0%,6.0%,120.2
4,Guardian,0.7,31.7%,64.9%,3.5%,116.9
5,Odin,0.8,11.7%,74.4%,14.0%,105.2
6,Sheriff,0.5,33.0%,64.1%,3.0%,100
7,Marshal,0.5,24.7%,71.8%,3.4%,94.3
8,Bulldog,0.7,23.2%,71.0%,5.8%,93.9
9,Judge,0.6,12.6%,75.1%,12.3%,83.6
10,Spectre,0.7,17.7%,74.2%,8.1%,83.1
11,Ares,0.6,14.9%,73.2%,11.9%,82.1
12,Stinger,0.5,18.1%,74.7%,7.2%,81.4
13,Ghost,0.8,29.5%,66.9%,3.6%,79.6
14,Bucky,0.5,15.0%,77.1%,7.9%,74.2
15,Shorty,0.6,15.5%,75.5%,9.0%,72.6
16,Classic,0.4,25.5%,69.8%,4.7%,69.2
17,Frenzy,0.5,20.6%,72.4%,7.1%,63.4
