,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.9%,85.5%,4.5%,133.9
1,Vandal,0.8,32.0%,63.4%,4.6%,129.8
2,Outlaw,0.9,10.5%,86.0%,3.5%,125.1
3,Guardian,0.7,37.1%,59.8%,3.1%,120.8
4,Phantom,0.8,26.9%,67.4%,5.7%,120
5,Sheriff,0.5,37.8%,59.6%,2.6%,104.1
6,Odin,0.8,14.5%,72.5%,13.0%,103.6
7,Marshal,0.6,24.7%,72.3%,3.0%,93.7
8,Bulldog,0.7,28.5%,66.6%,4.9%,93.3
9,Judge,0.6,11.5%,75.3%,13.1%,83.5
10,Shorty,0.8,15.3%,75.5%,9.2%,81.9
11,Ares,0.6,14.5%,74.5%,11.1%,80.8
12,Ghost,0.8,35.0%,61.9%,3.1%,80.1
13,Stinger,0.5,18.4%,74.4%,7.2%,80
14,Spectre,0.7,20.4%,72.2%,7.3%,79.6
15,Bucky,0.5,14.1%,77.9%,8.0%,78.6
16,Classic,0.5,29.4%,66.4%,4.3%,70
17,Frenzy,0.6,21.5%,72.0%,6.6%,62.8
