,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,11.6%,83.0%,5.3%,132.2
1,Operator,0.8,8.8%,86.6%,4.6%,124.5
2,Vandal,0.8,15.9%,75.3%,8.8%,121.8
3,Guardian,0.6,16.6%,76.4%,7.0%,116.8
4,Phantom,0.8,13.3%,75.9%,10.9%,114.4
5,Odin,0.9,7.8%,70.9%,21.3%,107.8
6,Marshal,0.4,20.6%,74.6%,4.8%,95.7
7,Bulldog,0.6,12.4%,77.0%,10.7%,95.6
8,Ares,0.6,9.7%,72.1%,18.2%,92.7
9,Sheriff,0.5,21.5%,72.9%,5.5%,89.1
10,Spectre,0.6,10.6%,76.2%,13.2%,88.1
11,Judge,0.6,11.6%,73.3%,15.1%,82.8
12,Stinger,0.5,14.5%,74.6%,10.9%,79.2
13,Ghost,0.7,16.8%,75.3%,7.8%,78.7
14,Bucky,0.5,13.6%,75.5%,10.9%,71.9
15,Classic,0.4,14.3%,76.3%,9.4%,63.2
16,Frenzy,0.6,13.9%,74.3%,11.8%,63
17,Shorty,0.4,13.7%,73.7%,12.6%,57.5
