,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.5%,86.4%,4.1%,131.2
1,Vandal,0.8,26.2%,68.8%,5.0%,128.3
2,Outlaw,0.7,12.7%,83.2%,4.0%,127
3,Phantom,0.8,22.4%,71.5%,6.1%,120.2
4,Guardian,0.7,30.8%,65.6%,3.5%,116.5
5,Odin,0.8,11.4%,74.5%,14.1%,105.2
6,Sheriff,0.5,32.3%,64.7%,3.1%,99.1
7,Marshal,0.5,24.8%,71.7%,3.5%,94.5
8,Bulldog,0.7,22.3%,71.7%,6.0%,93.7
9,Judge,0.6,12.6%,75.0%,12.4%,83.3
10,Spectre,0.7,17.2%,74.5%,8.3%,83.3
11,Ares,0.6,14.4%,73.4%,12.2%,82.3
12,Stinger,0.5,17.8%,74.8%,7.3%,81.8
13,Ghost,0.8,28.7%,67.6%,3.7%,79.4
14,Bucky,0.5,15.1%,77.0%,7.9%,73.9
15,Shorty,0.5,15.3%,75.6%,9.0%,71.3
16,Classic,0.4,24.9%,70.3%,4.8%,68.8
17,Frenzy,0.5,19.9%,72.8%,7.3%,62.9
