,Map,playRate,atkWin,defWin,numMatches
0,Lotus,0.142,0.517,0.483,705104
1,Breeze,0.141,0.49700000000000005,0.503,699783
2,Sunset,0.141,0.491,0.509,698890
3,Split,0.14300000000000002,0.485,0.515,709454
4,Bind,0.14300000000000002,0.47600000000000003,0.524,711671
5,Ascent,0.14300000000000002,0.469,0.531,711953
