,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.1%,48.9%,"7,140"
1,Breeze,14.2%,48.7%,51.3%,"7,139"
2,Sunset,14.0%,48.4%,51.6%,"7,042"
3,Bind,14.2%,47.8%,52.2%,"7,153"
4,Split,14.4%,47.4%,52.6%,"7,212"
5,Ascent,14.5%,45.0%,55.0%,"7,279"
