,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.4%,48.6%,"327,034"
1,Breeze,14.2%,49.5%,50.5%,"326,127"
2,Sunset,14.1%,48.9%,51.1%,"324,539"
3,Split,14.3%,47.9%,52.1%,"328,217"
4,Bind,14.4%,47.4%,52.6%,"330,337"
5,Ascent,14.4%,46.3%,53.7%,"330,296"
