,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.7%,47.3%,"262,412"
1,Breeze,14.2%,51.5%,48.5%,"262,267"
2,Split,14.2%,50.4%,49.6%,"263,349"
3,Sunset,14.3%,50.4%,49.6%,"263,986"
4,Bind,14.3%,49.1%,50.9%,"263,806"
5,Ascent,14.3%,48.2%,51.8%,"264,590"
