,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.4%,48.6%,"225,970"
1,Breeze,14.2%,49.5%,50.5%,"225,329"
2,Sunset,14.1%,48.9%,51.1%,"223,934"
3,Split,14.3%,47.8%,52.2%,"226,871"
4,Bind,14.4%,47.3%,52.7%,"228,171"
5,Ascent,14.4%,46.2%,53.8%,"228,135"
