,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.2%,47.8%,"1,159,166"
1,Breeze,14.1%,50.1%,49.9%,"1,149,432"
2,Sunset,14.1%,49.4%,50.6%,"1,149,661"
3,Split,14.3%,48.7%,51.3%,"1,164,784"
4,Bind,14.3%,48.1%,51.9%,"1,168,670"
5,Ascent,14.3%,47.3%,52.7%,"1,168,162"
