,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.1%,47.9%,"1,036,922"
1,Breeze,14.1%,50.0%,50.0%,"1,028,734"
2,Sunset,14.1%,49.4%,50.6%,"1,029,626"
3,Split,14.3%,48.7%,51.3%,"1,041,866"
4,Bind,14.3%,48.0%,52.0%,"1,046,440"
5,Ascent,14.3%,47.3%,52.7%,"1,045,768"
