,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.9%,47.1%,"561,651"
1,Breeze,14.2%,51.1%,48.9%,"560,982"
2,Sunset,14.2%,50.1%,49.9%,"562,969"
3,Split,14.3%,49.8%,50.2%,"564,609"
4,Bind,14.3%,49.1%,50.9%,"565,016"
5,Ascent,14.3%,47.8%,52.2%,"565,001"
