,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.3%,47.7%,"1,256,478"
1,Breeze,14.1%,50.2%,49.8%,"1,247,710"
2,Sunset,14.1%,49.5%,50.5%,"1,248,540"
3,Split,14.3%,48.8%,51.2%,"1,263,052"
4,Bind,14.3%,48.2%,51.8%,"1,266,987"
5,Ascent,14.3%,47.4%,52.6%,"1,267,827"
