,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.9%,48.1%,"871,348"
1,Breeze,14.1%,49.9%,50.1%,"864,505"
2,Sunset,14.1%,49.3%,50.7%,"864,369"
3,Split,14.3%,48.6%,51.4%,"876,154"
4,Bind,14.3%,47.8%,52.2%,"878,777"
5,Ascent,14.3%,47.2%,52.8%,"877,612"
