,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.5%,48.5%,"40,773"
1,Breeze,14.3%,49.5%,50.5%,"41,140"
2,Sunset,14.1%,48.8%,51.2%,"40,695"
3,Bind,14.3%,47.4%,52.6%,"41,249"
4,Split,14.3%,47.4%,52.6%,"41,135"
5,Ascent,14.3%,45.8%,54.2%,"41,283"
