,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.5%,48.5%,"521,756"
1,Breeze,14.1%,49.6%,50.4%,"518,097"
2,Sunset,14.1%,49.0%,51.0%,"517,464"
3,Split,14.3%,48.2%,51.8%,"524,597"
4,Bind,14.3%,47.5%,52.5%,"526,672"
5,Ascent,14.3%,46.6%,53.4%,"526,545"
