,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.8%,47.2%,"744,759"
1,Breeze,14.2%,50.9%,49.1%,"743,867"
2,Sunset,14.2%,49.9%,50.1%,"745,864"
3,Split,14.3%,49.4%,50.6%,"750,414"
4,Bind,14.3%,48.9%,51.1%,"750,798"
5,Ascent,14.3%,47.7%,52.3%,"750,581"
